time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor
2018-08-20,TS1812,99.1,99.26,99.1,99.215,1865,3700533000.0,99.215,1,99.22,16,3172,99.21,99.16,1.0
2018-08-21,TS1812,99.185,99.235,99.12,99.185,1339,2656442099.9999995,99.185,9,99.2,1,3265,99.195,99.215,1.0
2018-08-22,TS1812,99.235,99.29,99.19,99.2,1225,2430277499.9999995,99.2,18,99.205,1,3554,99.195,99.185,1.0
2018-08-23,TS1812,99.28,99.28,99.225,99.275,819,1625633100.0,99.27,2,99.28,5,3480,99.245,99.2,1.0
2018-08-24,TS1812,99.305,99.38,99.29,99.31,464,921736000.0,99.31,10,99.34,2,3359,99.325,99.275,1.0
2018-08-27,TS1812,99.27,99.3,99.205,99.27,671,1332270500.0000002,99.275,5,99.295,2,3559,99.275,99.31,1.0
2018-08-28,TS1812,99.215,99.315,99.185,99.275,574,1139849200.0000002,99.27,3,99.285,1,3537,99.29,99.27,1.0
2018-08-29,TS1812,99.27,99.32,99.225,99.31,210,417102000.00000006,99.305,2,99.31,2,3525,99.31,99.275,1.0
2018-08-30,TS1812,99.335,99.435,99.3,99.365,533,1059017700.0,99.36,1,99.375,4,3425,99.345,99.31,1.0
2018-08-31,TS1812,99.36,99.4,99.315,99.375,239,475060300.0,99.37,2,99.375,5,3338,99.385,99.365,1.0
2018-09-03,TS1812,99.35,99.365,99.31,99.33,108,214520400.0,99.315,10,99.335,1,3310,99.315,99.375,1.0
2018-09-04,TS1812,99.315,99.315,99.265,99.28,90,178695000.0,99.28,17,99.285,1,3307,99.275,99.33,1.0
2018-09-05,TS1812,99.29,99.315,99.275,99.275,109,216430400.0,99.27,5,99.28,2,3311,99.28,99.28,1.0
2018-09-06,TS1812,99.29,99.305,99.265,99.27,204,405062400.0,99.26,13,99.275,1,3267,99.28,99.275,1.0
2018-09-07,TS1812,99.26,99.28,99.245,99.255,360,714708000.0,99.255,4,99.265,2,3257,99.265,99.27,1.0
2018-09-10,TS1812,99.25,99.275,99.22,99.25,393,780026400.0,99.235,1,99.255,9,3233,99.24,99.255,1.0
2018-09-11,TS1812,99.26,99.265,99.205,99.24,383,760063499.9999999,99.235,1,99.245,3,3261,99.225,99.25,1.0
2018-09-12,TS1812,99.25,99.255,99.22,99.24,365,724452000.0,99.24,3,99.25,6,3188,99.24,99.24,1.0
2018-09-13,TS1812,99.225,99.31,99.22,99.27,267,530155200.00000006,99.265,9,99.285,1,3121,99.28,99.24,1.0
2018-09-14,TS1812,99.295,99.305,99.275,99.3,129,256194000.0,99.29,1,99.3,2,3080,99.3,99.27,1.0
2018-09-17,TS1812,99.405,99.405,99.325,99.345,163,323848400.0,99.335,13,99.355,3,3118,99.34,99.3,1.0
2018-09-18,TS1812,99.385,99.385,99.335,99.34,126,250349400.0,99.335,12,99.36,2,3123,99.345,99.345,1.0
2018-09-19,TS1812,99.35,99.375,99.31,99.31,262,520410600.0,99.305,5,99.32,2,3112,99.315,99.34,1.0
2018-09-20,TS1812,99.27,99.3,99.25,99.275,163,323652800.0,99.275,1,99.28,4,3101,99.28,99.31,1.0
2018-09-21,TS1812,99.27,99.32,99.27,99.32,140,278040000.0,99.31,1,99.32,1,3038,99.3,99.275,1.0
2018-09-25,TS1812,99.305,99.33,99.28,99.295,136,270068800.0,99.285,5,99.295,1,3066,99.29,99.32,1.0
2018-09-26,TS1812,99.28,99.345,99.275,99.34,168,333765600.0,99.325,4,99.34,3,3058,99.335,99.295,1.0
2018-09-27,TS1812,99.38,99.4,99.345,99.395,205,407478500.0,99.39,10,99.395,1,3045,99.385,99.34,1.0
2018-09-28,TS1812,99.45,99.45,99.36,99.39,191,379688900.0,99.375,1,99.39,3,2998,99.395,99.395,1.0
2018-10-08,TS1812,99.38,99.405,99.32,99.385,162,322039800.0,99.375,4,99.4,1,2990,99.395,99.39,1.0
2018-10-09,TS1812,99.385,99.505,99.385,99.45,271,539046100.0,99.45,4,99.46,1,3043,99.455,99.385,1.0
2018-10-10,TS1812,99.48,99.48,99.43,99.45,195,387816000.0,99.45,1,99.465,5,3053,99.44,99.45,1.0
2018-10-11,TS1812,99.54,99.55,99.485,99.515,208,413961600.00000006,99.5,14,99.515,4,3064,99.51,99.45,1.0
2018-10-12,TS1812,99.505,99.53,99.495,99.525,119,236845700.0,99.52,2,99.53,1,3065,99.515,99.515,1.0
2018-10-15,TS1812,99.52,99.525,99.505,99.51,63,125382600.0,99.505,7,99.515,3,3080,99.51,99.525,1.0
2018-10-16,TS1812,99.495,99.535,99.475,99.535,280,557312000.0,99.53,1,99.54,5,3146,99.52,99.51,1.0
2018-10-17,TS1812,99.52,99.545,99.51,99.52,90,179127000.0,99.51,1,99.525,6,3125,99.515,99.535,1.0
2018-10-18,TS1812,99.535,99.56,99.525,99.535,97,193117300.0,99.535,7,99.55,1,3143,99.545,99.52,1.0
2018-10-19,TS1812,99.525,99.56,99.47,99.49,277,551174600.0,99.49,3,99.52,4,3103,99.49,99.535,1.0
2018-10-22,TS1812,99.45,99.46,99.43,99.44,172,342073600.0,99.44,10,99.45,6,3101,99.44,99.49,1.0
2018-10-23,TS1812,99.41,99.49,99.41,99.485,153,304408800.0,99.48,7,99.485,1,3038,99.48,99.44,1.0
2018-10-24,TS1812,99.47,99.51,99.47,99.505,73,145270000.0,99.5,2,99.51,3,3020,99.5,99.485,1.0
2018-10-25,TS1812,99.55,99.6,99.52,99.53,114,226905600.0,99.52,1,99.53,9,3006,99.52,99.505,1.0
2018-10-26,TS1812,99.515,99.54,99.505,99.53,57,113464200.0,99.525,6,99.54,5,2990,99.53,99.53,1.0
2018-10-29,TS1812,99.55,99.625,99.53,99.615,179,356585900.00000006,99.6,2,99.615,27,2972,99.605,99.53,1.0
2018-10-30,TS1812,99.65,99.65,99.565,99.61,249,496032900.0,99.61,6,99.63,6,2907,99.605,99.615,1.0
2018-10-31,TS1812,99.595,99.635,99.575,99.635,204,406449600.0,99.625,1,99.64,2,2865,99.62,99.61,1.0
2018-11-01,TS1812,99.63,99.655,99.6,99.64,315,627732000.0,99.635,5,99.655,5,2844,99.64,99.635,1.0
2018-11-02,TS1812,99.595,99.645,99.555,99.61,428,852618800.0,99.605,1,99.615,5,2736,99.605,99.64,1.0
2018-11-05,TS1812,99.57,99.665,99.57,99.655,566,1127981400.0,99.655,2,99.66,3,2656,99.645,99.61,1.0
2018-11-06,TS1812,99.65,99.78,99.64,99.78,729,1454427899.9999998,99.775,1,99.785,3,2379,99.755,99.655,1.0
2018-11-07,TS1812,99.755,99.9,99.715,99.885,656,1310425600.0,99.885,8,99.89,10,1949,99.88,99.78,1.0
2018-11-08,TS1812,99.83,99.96,99.83,99.945,445,889510499.9999999,99.945,1,99.96,3,1840,99.945,99.885,1.0
2018-11-09,TS1812,99.935,99.97,99.89,99.9,282,563520600.0,99.89,1,99.9,2,1741,99.915,99.945,1.0
2018-11-12,TS1812,99.92,99.92,99.88,99.9,231,461538000.0,99.9,13,99.905,10,1653,99.9,99.9,1.0
2018-11-13,TS1812,99.95,99.95,99.88,99.885,53,105894000.0,99.88,19,99.905,1,1624,99.9,99.9,1.0
2018-11-14,TS1812,99.945,100.095,99.93,100.05,254,508279400.0,100.055,1,100.08,1,1548,100.055,99.885,1.0
2018-11-15,TS1812,100.05,100.1,100.05,100.055,85,170102000.0,100.055,19,100.065,1,1532,100.06,100.05,1.0
2018-11-16,TS1812,100.06,100.1,100.005,100.075,100,200150000.0,100.055,1,100.08,10,1477,100.075,100.055,1.0
2018-11-19,TS1812,100.08,100.08,100.015,100.065,158,316110600.0,100.05,5,100.07,5,1379,100.035,100.075,1.0
2018-11-20,TS1812,100.045,100.09,100.03,100.035,69,138048300.0,100.03,5,100.04,2,1341,100.035,100.065,1.0
2018-11-21,TS1812,100.105,100.14,100.035,100.04,58,116040600.0,100.02,2,100.075,5,1321,100.035,100.035,1.0
2018-11-22,TS1812,100.04,100.065,99.995,100.04,64,128032000.0,99.97,1,100.035,1,1291,100.025,100.04,1.0
2018-11-23,TS1812,100.07,100.07,99.965,100.03,31,62018600.0,99.965,2,100.03,2,1278,100.03,100.04,1.0
2018-11-26,TS1812,100.135,100.135,99.98,100.045,85,170076500.0,99.975,5,100.07,1,1235,100.045,100.03,1.0
2018-11-27,TS1812,99.9,100.11,99.9,99.99,74,148037000.0,99.97,1,100.065,1,1198,100.025,100.045,1.0
2018-11-28,TS1812,100.075,100.095,100.03,100.095,23,46034500.0,100.035,1,100.1,10,1193,100.075,99.99,1.0
2018-11-29,TS1812,100.0,100.1,100.0,100.09,879,1759494300.0,100.085,5,100.09,4,318,100.085,100.095,1.0
2018-11-30,TS1903,100.025,100.05,99.95,99.965,326,651674000.0,99.945,8,99.965,4,729,99.95,100.02,1.0006998600279944
2018-12-03,TS1903,99.72,100.0,99.72,99.96,260,519740000.0,99.95,9,99.965,1,730,99.95,99.965,1.0006998600279944
2018-12-04,TS1903,99.96,100.065,99.96,100.06,174,348139200.00000006,100.05,1,100.06,1,741,100.04,99.96,1.0006998600279944
2018-12-05,TS1903,100.145,100.15,100.055,100.065,375,750562500.0,100.06,4,100.08,2,750,100.075,100.06,1.0006998600279944
2018-12-06,TS1903,100.06,100.11,100.05,100.095,98,196196000.0,100.09,2,100.1,1,793,100.1,100.065,1.0006998600279944
2018-12-07,TS1903,100.09,100.12,100.06,100.12,64,128128000.0,100.1,1,100.12,5,793,100.1,100.095,1.0006998600279944
2018-12-10,TS1903,100.125,100.165,100.11,100.135,111,222299700.0,100.13,2,100.14,1,850,100.135,100.12,1.0006998600279944
2018-12-11,TS1903,100.11,100.14,100.1,100.105,147,294323400.0,100.1,9,100.11,1,890,100.11,100.135,1.0006998600279944
2018-12-12,TS1903,100.125,100.15,100.085,100.115,70,140168000.0,100.1,2,100.115,1,917,100.12,100.105,1.0006998600279944
2018-12-13,TS1903,100.125,100.13,100.03,100.04,134,268120600.0,100.03,4,100.05,3,963,100.045,100.115,1.0006998600279944
2018-12-14,TS1903,100.03,100.065,100.0,100.025,92,184036800.0,100.015,1,100.03,1,980,100.02,100.04,1.0006998600279944
2018-12-17,TS1903,100.01,100.03,99.985,100.01,255,510000000.0,100.01,5,100.02,4,991,100.0,100.025,1.0006998600279944
2018-12-18,TS1903,99.975,100.02,99.975,100.015,56,112011200.0,100.01,1,100.03,1,995,100.01,100.01,1.0006998600279944
2018-12-19,TS1903,100.035,100.05,99.99,100.02,71,142042600.0,100.02,1,100.05,4,1006,100.03,100.015,1.0006998600279944
2018-12-20,TS1903,100.055,100.12,100.055,100.11,85,170170000.0,100.085,9,100.12,4,1001,100.1,100.02,1.0006998600279944
2018-12-21,TS1903,100.075,100.125,100.06,100.07,82,164155799.99999997,100.05,4,100.12,4,1017,100.095,100.11,1.0006998600279944
2018-12-24,TS1903,100.125,100.125,100.08,100.105,97,194203700.0,100.085,3,100.11,1,983,100.105,100.07,1.0006998600279944
2018-12-25,TS1903,100.1,100.15,100.085,100.11,103,206247200.0,100.1,10,100.11,1,1010,100.12,100.105,1.0006998600279944
2018-12-26,TS1903,100.085,100.165,100.07,100.165,94,188291400.0,100.16,1,100.18,2,1015,100.155,100.11,1.0006998600279944
2018-12-27,TS1903,100.16,100.17,100.09,100.17,115,230368000.0,100.16,1,100.175,1,987,100.16,100.165,1.0006998600279944
2018-12-28,TS1903,100.155,100.41,100.15,100.25,109,218566800.0,100.235,12,100.24,1,1018,100.26,100.17,1.0006998600279944
2019-01-02,TS1903,100.25,100.335,100.25,100.33,144,288907200.0,100.325,1,100.355,4,990,100.315,100.25,1.0006998600279944
2019-01-03,TS1903,100.34,100.34,100.29,100.34,123,246799500.0,100.34,1,100.345,2,976,100.325,100.33,1.0006998600279944
2019-01-04,TS1903,100.39,100.4,100.325,100.34,134,268938000.0,100.335,1,100.36,4,946,100.35,100.34,1.0006998600279944
2019-01-07,TS1903,100.34,100.35,100.3,100.335,98,196627200.0,100.335,8,100.345,7,904,100.32,100.34,1.0006998600279944
2019-01-08,TS1903,100.335,100.44,100.325,100.425,183,367500600.0,100.41,1,100.44,5,928,100.41,100.335,1.0006998600279944
