time,future,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,code
2011-03-25,PB.SHF,15476.030687871777,15639.495495771136,15414.731384909517,15488.290548464229,12429.0,1180444275.0,18950,8,18960,16,4247.0,PB1109
2011-03-28,PB.SHF,15447.42434648939,15557.763091821456,15120.494730690672,15206.313754837834,8480.0,796060000.0,18590,11,18605,1,4131.0,PB1109
2011-03-29,PB.SHF,15145.014451875575,15312.565879972419,15108.23487009822,15263.526437602612,5309.0,494666075.0,18670,26,18680,16,3984.0,PB1109
2011-03-30,PB.SHF,15365.69194253971,15406.558144514549,15279.872918392546,15332.99898095984,4043.0,379132325.0,18760,3,18765,3,3660.0,PB1109
2011-03-31,PB.SHF,15283.95953859003,15300.306019379967,15185.880653850416,15255.353197207643,1528.0,142486000.0,18665,4,18670,1,3388.0,PB1109
2011-04-01,PB.SHF,15349.345461749774,15349.345461749774,15177.707413455448,15234.920096220223,1275.0,118989375.0,18635,1,18640,1,3358.0,PB1109
2011-04-06,PB.SHF,15263.526437602612,15823.393404657914,15263.526437602612,15708.968039128364,7700.0,734580000.0,19215,2,19220,12,4681.0,PB1109
2011-04-07,PB.SHF,15692.621558338427,15774.353962288107,15557.763091821456,15590.456053401329,5213.0,498753775.0,19070,63,19075,17,4322.0,PB1109
2011-04-08,PB.SHF,15602.71591399378,15733.487760313266,15533.243370636552,15672.188457351007,4217.0,403672325.0,19180,1,19190,6,4694.0,PB1109
2011-04-11,PB.SHF,15733.487760313266,15888.779327817658,15647.668736166104,15700.794798733396,6969.0,671985825.0,19205,20,19235,6,5121.0,PB1109
2011-04-12,PB.SHF,15529.156750439068,15631.322255376168,15357.518702144742,15365.69194253971,4628.0,438618700.0,18805,2,18830,22,4577.0,PB1109
2011-04-13,PB.SHF,15210.400375035319,15320.739120367387,15153.187692270543,15296.219399182482,2783.0,259445175.0,18710,18,18715,5,4388.0,PB1109
2011-04-14,PB.SHF,15165.447552862996,15275.786298195062,15153.187692270543,15185.880653850416,1923.0,178887075.0,18555,3,18580,6,4287.0,PB1109
2011-04-15,PB.SHF,15206.313754837834,15349.345461749774,15124.581350888157,15185.880653850416,4996.0,465877000.0,18575,1,18580,5,4409.0,PB1109
2011-04-18,PB.SHF,15181.794033652932,15243.093336615191,15140.927831678091,15185.880653850416,1667.0,154905975.0,18580,2,18585,3,4449.0,PB1109
2011-04-19,PB.SHF,14957.029922791313,14997.896124766154,14670.966508967436,14695.486230152339,4195.0,380696250.0,17970,12,17980,18,5106.0,PB1109
2011-04-20,PB.SHF,14764.958773509567,14858.951038051699,14764.958773509567,14846.691177459246,1465.0,132729000.0,18165,3,18170,1,4754.0,PB1109
2011-04-21,PB.SHF,14957.029922791313,14957.029922791313,14826.258076471826,14858.951038051699,1252.0,113932000.0,18180,1,18195,4,4625.0,PB1109
2011-04-22,PB.SHF,14903.903860224022,14903.903860224022,14613.753826202661,14691.399609954855,1710.0,153729000.0,17975,1,17980,3,4753.0,PB1109
2011-04-25,PB.SHF,14695.486230152339,14752.698912917114,14515.674941463045,14515.674941463045,1051.0,93828025.0,17760,8,17765,1,4757.0,PB1109
2011-04-26,PB.SHF,14462.548878895754,14462.548878895754,14237.784768034135,14421.682676920915,1753.0,153738100.0,17640,2,17655,1,4484.0,PB1109
2011-04-27,PB.SHF,14401.249575933494,14540.19466264795,14237.784768034135,14344.036893168719,1487.0,131190575.0,17535,1,17590,1,4388.0,PB1109
2011-04-28,PB.SHF,14348.123513366203,14589.234105017757,14348.123513366203,14511.58832126556,1639.0,145420275.0,17760,7,17765,4,4296.0,PB1109
2011-04-29,PB.SHF,14438.02915771085,14487.068600080658,14327.690412378783,14344.036893168719,774.0,68112000.0,17550,38,17580,2,4260.0,PB1109
2011-05-03,PB.SHF,14344.036893168719,14425.769297118399,14270.477729614007,14327.690412378783,951.0,83426475.0,17515,1,17530,1,4356.0,PB1109
2011-05-04,PB.SHF,14376.72985474859,14380.816474946074,14254.131248824071,14286.824210403944,570.0,49875000.0,17465,2,17485,2,4273.0,PB1109
2011-05-05,PB.SHF,14147.879123689489,14147.879123689489,13444.980449722247,13661.571320188896,2035.0,172771500.0,16705,1,16715,17,4324.0,PB1109
2011-05-06,PB.SHF,13256.995920637984,13436.807209327279,13232.47619945308,13285.602262020371,3270.0,266505000.0,16250,1,16255,3,4475.0,PB1109
2011-05-09,PB.SHF,13346.90156498263,13600.272017226636,13346.90156498263,13583.925536436702,1623.0,134059800.0,16595,1,16635,1,4334.0,PB1109
2011-05-10,PB.SHF,13489.93327189457,13657.484699991412,13457.240310314699,13604.35863742412,1380.0,114264000.0,16630,1,16645,2,4302.0,PB1109
2011-05-11,PB.SHF,13641.138219201477,14057.97347934484,13563.492435449281,13628.878358609025,1819.0,152341250.0,16660,4,16675,2,4304.0,PB1109
2011-05-12,PB.SHF,13444.980449722247,13485.846651697086,13256.995920637984,13256.995920637984,2212.0,180831000.0,16220,14,16230,4,4401.0,PB1109
2011-05-13,PB.SHF,13465.413550709665,13682.004421176316,13355.074805377599,13653.39807979393,1918.0,158954250.0,16705,2,16720,3,4340.0,PB1109
2011-05-16,PB.SHF,13547.145954659345,13612.531877819089,13453.153690117215,13530.799473869409,1436.0,118900800.0,16555,1,16570,1,4351.0,PB1109
2011-05-17,PB.SHF,13489.93327189457,13575.752296041734,13265.169161032953,13543.059334461861,1966.0,162047550.0,16570,1,16585,1,4414.0,PB1109
2011-05-18,PB.SHF,13677.917800978832,13775.996685718448,13583.925536436702,13657.484699991412,2609.0,218047175.0,16705,4,16715,1,4287.0,PB1109
2011-05-19,PB.SHF,14041.626998554906,14041.626998554906,13833.209368483223,13849.555849273158,2770.0,235796250.0,16935,3,16945,2,3933.0,PB1109
2011-05-20,PB.SHF,13890.422051247999,13890.422051247999,13771.910065520964,13841.382608878192,1196.0,101181600.0,16920,2,16940,4,3959.0,PB1109
2011-05-23,PB.SHF,13894.508671445483,13955.807974407742,13538.972714264377,13575.752296041734,1801.0,151013850.0,16600,21,16620,3,3883.0,PB1109
2011-05-24,PB.SHF,13571.66567584425,13731.043863546123,13506.279752684506,13698.350901966252,1302.0,108619350.0,16760,3,16770,1,3742.0,PB1109
2011-05-25,PB.SHF,13788.256546310899,13972.154455197679,13722.870623151155,13968.067835000194,1367.0,115614025.0,17090,19,17095,7,3717.0,PB1109
2011-05-26,PB.SHF,13935.374873420322,14082.493200529745,13935.374873420322,14062.060099542325,1566.0,134284500.0,17205,3,17220,6,3729.0,PB1109
2011-05-27,PB.SHF,13976.241075395163,14172.398844874391,13927.201633025354,14151.965743886973,1790.0,153850500.0,17295,1,17300,9,3814.0,PB1109
2011-05-30,PB.SHF,14082.493200529745,14196.918566059296,13919.028392630385,13927.201633025354,1567.0,134526950.0,17035,1,17040,3,3756.0,PB1109
2011-05-31,PB.SHF,13988.500935987613,14041.626998554906,13808.689647298319,13972.154455197679,2142.0,182177100.0,17030,1,17095,2,4046.0,PB1109
2011-06-01,PB.SHF,13963.98121480271,13963.98121480271,13820.949507890771,13857.729089668126,1268.0,107653200.0,16955,1,16975,1,4165.0,PB1109
2011-06-02,PB.SHF,13763.736825125996,13812.776267495803,13714.697382756189,13796.429786705867,992.0,83501600.0,16870,17,16880,58,4084.0,PB1109
2011-06-03,PB.SHF,13657.484699991412,13878.162190655547,13628.878358609025,13804.603027100835,1767.0,148958100.0,16880,1,16890,2,4288.0,PB1109
2011-06-07,PB.SHF,13804.603027100835,14029.367137962454,13767.82344532348,13919.028392630385,2259.0,192184425.0,17020,1,17030,2,4142.0,PB1109
2011-06-08,PB.SHF,13976.241075395163,14041.626998554906,13784.169926113414,13910.85515223542,2019.0,172119750.0,17010,4,17020,15,4109.0,PB1109
2011-06-09,PB.SHF,13980.327695592645,14000.760796580065,13882.24881085303,13882.24881085303,1036.0,88370800.0,16980,1,17005,1,4075.0,PB1109
2011-06-10,PB.SHF,13959.894594605226,14017.107277370002,13886.335431050515,13951.721354210258,1456.0,124342400.0,17070,1,17075,3,4218.0,PB1109
2011-06-13,PB.SHF,13869.988950260578,13914.941772432901,13759.650204928512,13845.469229075676,1328.0,112548000.0,16940,136,16950,1,4255.0,PB1109
2011-06-14,PB.SHF,13865.902330063094,13874.075570458062,13747.39034433606,13845.469229075676,1001.0,84584500.0,16940,1,16950,5,4523.0,PB1109
